[a, b] = [0, 2]
h = 0.001 
 
  n            x1            v1            x2            v2
244      1.161893     -0.302236     -0.186917     -0.711307
245      1.161590     -0.303314     -0.187628     -0.710640
246      1.161286     -0.304391     -0.188338     -0.709972
247      1.160981     -0.305466     -0.189048     -0.709302
248      1.160675     -0.306540     -0.189757     -0.708630
249      1.160368     -0.307612     -0.190465     -0.707956
250      1.160060     -0.308682     -0.191173     -0.707281
251      1.159751     -0.309751     -0.191880     -0.706603
252      1.159440     -0.310819     -0.192586     -0.705923
253      1.159129     -0.311884     -0.193291     -0.705242
254      1.158817     -0.312949     -0.193996     -0.704559
255      1.158503     -0.314011     -0.194701     -0.703873
256      1.158189     -0.315072     -0.195404     -0.703186
257      1.157873     -0.316132     -0.196107     -0.702497
258      1.157556     -0.317190     -0.196809     -0.701806
259      1.157239     -0.318246     -0.197511     -0.701114
260      1.156920     -0.319301     -0.198211     -0.700419
261      1.156600     -0.320354     -0.198911     -0.699723
262      1.156279     -0.321405     -0.199611     -0.699024
263      1.155957     -0.322455     -0.200309     -0.698324
264      1.155634     -0.323504     -0.201007     -0.697622
265      1.155310     -0.324550     -0.201705     -0.696919
266      1.154985     -0.325596     -0.202401     -0.696213
267      1.154659     -0.326639     -0.203097     -0.695505
268      1.154332     -0.327682     -0.203792     -0.694796
269      1.154004     -0.328722     -0.204487     -0.694085
270      1.153674     -0.329761     -0.205180     -0.693372
271      1.153344     -0.330798     -0.205873     -0.692658
272      1.153013     -0.331834     -0.206566     -0.691941
273      1.152681     -0.332868     -0.207257     -0.691223
274      1.152347     -0.333901     -0.207948     -0.690503
275      1.152013     -0.334932     -0.208638     -0.689781
276      1.151677     -0.335962     -0.209328     -0.689057
277      1.151341     -0.336990     -0.210016     -0.688332
278      1.151003     -0.338016     -0.210704     -0.687605
279      1.150665     -0.339041     -0.211392     -0.686876
280      1.150325     -0.340064     -0.212078     -0.686145
281      1.149985     -0.341086     -0.212764     -0.685412
282      1.149643     -0.342106     -0.213449     -0.684678
283      1.149300     -0.343124     -0.214133     -0.683942
284      1.148957     -0.344141     -0.214817     -0.683204
285      1.148612     -0.345157     -0.215500     -0.682465
286      1.148266     -0.346171     -0.216182     -0.681724
287      1.147920     -0.347183     -0.216863     -0.680981
288      1.147572     -0.348194     -0.217544     -0.680236
289      1.147223     -0.349203     -0.218224     -0.679490
290      1.146874     -0.350210     -0.218903     -0.678741
291      1.146523     -0.351216     -0.219581     -0.677992
292      1.146171     -0.352221     -0.220259     -0.677240
